,0,1,2,3,4,5,6,7,8,9,10
2017/12/27,0.279267321,-0.254813772,-5.528663352,12.37935634,-0.023105895,-0.021245875,-0.663804654,-0.571089663,-14.38665712,0.100754439,-0.522494025
2017/12/28,-0.807246349,0.072953974,-3.95379742,7.919778914,0.005423388,-0.116685339,-0.268512835,-0.811322969,-13.54270307,0.008558465,-0.616358667
2017/12/29,0.578609507,-0.082264659,-2.335911933,-2.836912635,0.033828888,-0.157591556,-0.11427323,-1.948834139,-6.942168346,-0.075582536,-0.900509052
2017/12/30,-0.094392183,-0.905379621,-2.615199686,-4.122355012,-0.35287359,-0.330179871,-2.441249081,-1.133797468,-9.121818642,0.043210452,-0.628449663
2017/12/31,-0.742253588,-0.059828067,-2.717611329,-1.925264574,-0.127549054,-0.106467314,-0.513480714,-1.047577559,-9.822097835,-0.102774891,-0.444095738
2018/1/1,0.251632115,-0.121167671,-3.733048547,-2.670984921,0.051986821,-0.417838659,-0.345738159,-0.692633706,4.195366458,0.062317942,-2.979362787
2018/1/2,0.070400284,0.149500153,-6.424576966,-3.03148857,-0.501482468,-0.240185884,-0.373245071,-1.055448633,3.585870723,0.035511441,-0.093746189
2018/1/3,-2.42191759,-0.441880181,-7.896249212,3.699559313,-0.019809575,-0.054110677,-0.628251814,-0.634041177,2.883621475,0.006369132,-0.185708036
2018/1/4,0.69145493,-0.589178157,-7.327044451,1.296070842,-0.019099669,-0.128800465,-0.591442531,-0.796511918,2.153230813,-0.002993059,-0.130126547
2018/1/5,0.959054017,0.062014036,-5.751500285,9.393827917,-0.052501849,-0.301441679,-2.294509817,-7.197581204,4.350496666,-0.001589072,-0.570696132
2018/1/6,0.386443517,-0.291719535,-4.87346619,-0.527158236,0.022386854,-0.063227302,-0.82541631,-0.755165404,1.509648193,0.088815441,-0.791349412
2018/1/7,-0.922334738,-0.016760987,-2.832227002,-0.085094808,-0.004506491,-0.225329132,-0.693691684,-0.796242402,1.113809564,-0.079106905,-2.356692033
2018/1/8,-2.526431761,0.646315621,-2.762341656,-0.471972795,-0.000935782,-0.025514911,-1.125778528,-2.028364348,2.813486937,0.072860537,-1.232719739
2018/1/9,0.426900425,0.365954042,-1.594348658,0.770815909,-0.277530211,0.106685639,-1.434628736,-1.051935569,2.012433921,0.04468391,-0.512276358
2018/1/10,0.426587917,-0.430313781,-1.84157394,2.528631209,0.043185667,-0.627424564,-0.725804997,-6.102141023,-0.905342673,-0.207690444,-1.046123161
2018/1/11,-0.243839127,0.200659889,-3.30260235,1.510876634,-0.030042123,-0.263554929,-2.008894554,-1.485602009,0.526997227,0.019729576,-0.984666435
2018/1/12,-4.979976733,-0.897671628,-4.829828558,6.423905324,-0.145844181,-0.421632903,-0.331050988,-1.482228874,-2.171061411,-0.69587414,-0.195899312
2018/1/13,-4.84436304,0.146812048,-4.221649537,2.154287988,0.034822763,-0.173653458,-0.530205973,-1.295745764,-5.758921712,-0.46887528,-1.487837124
2018/1/14,-3.414895598,0.227143322,-2.921363527,13.88113517,0.043727191,0.081309657,-0.87244743,-1.990661671,-12.91983852,0.042412712,-1.458069585
2018/1/15,-3.053600254,0.318156279,-1.310330189,8.864656829,0.038892845,0.068665513,-2.094256146,-0.816448154,-15.75965439,0.061596365,-1.130550519
2018/1/16,-0.48758812,0.473503485,-1.962705892,1.140983724,0.041756578,0.067253734,-0.502866691,-0.720718464,-16.94876303,0.078135662,-1.942623807
2018/1/17,0.026364622,-0.1205753,-3.044784715,-3.006139032,0.045366026,-0.98621002,-0.632569769,-1.387282835,-9.629624818,0.088483497,0.34475802
2018/1/18,-2.800236513,-0.59225538,-4.092755293,-3.330192168,0.047256422,-0.141917837,-0.42061965,-4.942292644,-7.695228541,0.068950111,-0.416973111
2018/1/19,1.047571505,-0.100604336,-5.360215916,2.423467396,-0.474312594,0.057404026,-0.603439332,-1.482466904,-8.60864702,-1.107943488,-0.656240067
2018/1/20,0.075951408,0.645274426,-3.044209313,4.442001456,0.042049549,-0.120430658,-0.425014688,-1.495031633,-7.626356785,-0.362451746,-0.423775552
2018/1/21,-2.387354195,-0.621312375,-2.690915284,9.015377598,-0.468065446,0.082255181,-0.302813347,-2.996482673,-8.962568378,-0.19529311,-0.445080261
2018/1/22,-3.853378208,0.327108796,-2.096163253,12.18974461,0.01105412,0.066541372,-0.721618179,-1.100458816,-12.15189658,-0.005238039,-0.473012754
2018/1/23,-5.717310354,0.289224316,-3.686149767,7.246494101,0.004267453,0.092541521,-0.792136608,-1.351911112,-14.54122532,0.045655902,-0.198953389
2018/1/24,-4.650424888,0.705786592,-3.852021886,2.938044158,0.000140518,0.106595854,-0.546819745,-2.02228211,-10.80180948,0.007827867,-0.554379774
2018/1/25,-4.364400712,-2.337285917,-2.963887865,-0.175190645,-0.017522016,0.089840677,-1.423019688,-0.771785523,-10.01623988,0.059161779,-0.365930752
2018/1/26,-2.723798067,-0.587596041,-3.042227383,10.65148889,0.046937271,0.119040219,-0.932624179,-0.649988035,-9.079578794,0.023997005,-0.557399453
2018/1/27,-1.40138548,-2.184788737,-2.454549653,5.975362371,0.04181493,-0.642884664,-0.69586841,-0.516097995,-8.81763882,0.051652929,-0.622012461
2018/1/28,-3.267057612,-2.744621441,-2.493631897,8.466165226,0.030762307,0.073390998,-1.034170627,-1.513499458,-8.123849356,-0.880046756,-0.279419861
2018/1/29,-2.178172626,-2.5761754,-3.536274467,-3.085232604,-0.189860608,-0.471844946,-1.509045157,-1.73925179,-9.971593268,0.021254453,-2.52842145
2018/1/30,-2.983163564,-5.676516328,-3.584376973,12.18180163,-0.023400047,0.068080023,-1.021882682,-1.971483086,-10.65344906,0.080973363,-0.102184344
2018/1/31,-4.793034839,-1.269702708,-3.499363599,4.487097045,-0.134374742,0.074479622,-1.147068863,-2.940896466,-16.09724219,-0.216958989,-0.386229721
2018/2/1,-4.890962385,-0.783308522,-3.927835913,5.943356163,0.031835279,0.071286054,-1.368681347,-0.958020188,-15.24408428,0.14934766,-0.463951243
